NAME,ID,MATCH,US_POP,CATEGORY ,,
Traditional Village of Togiak alone or in any combination,2798,1596,868,Alaska Native,,
Tsimshian alone or in any combination,2799,1597,"3,546",Alaska Native,,
Tuluksak Native Community alone or in any combination,2800,1598,94,Alaska Native,,
Twin Hills Village alone or in any combination,2801,1599,53,Alaska Native,,
Ugashik Village alone or in any combination,2802,1600,59,Alaska Native,,
Umkumiut Native Village alone or in any combination,2803,1601,52,Alaska Native,,
Unangan (Unalaska) alone or in any combination,2804,1602,166,Alaska Native,,
Village of Alakanuk alone or in any combination,2805,1603,814,Alaska Native,,
Village of Anaktuvuk Pass alone or in any combination,2806,1604,161,Alaska Native,,
Village of Aniak alone or in any combination,2807,1605,319,Alaska Native,,
Village of Atmautluak alone or in any combination,2808,1606,219,Alaska Native,,
Village of Bill Moore's Slough alone or in any combination,2809,1607,82,Alaska Native,,
Village of Chefornak alone or in any combination,2810,1608,92,Alaska Native,,
Village of Clarks Point alone or in any combination,2811,1609,61,Alaska Native,,
Village of Crooked Creek alone or in any combination,2812,1610,54,Alaska Native,,
Village of Dot Lake alone or in any combination,2813,1611,72,Alaska Native,,
Village of Iliamna alone or in any combination,2814,1612,48,Alaska Native,,
Village of Kalskag alone or in any combination,2815,1613,102,Alaska Native,,
Village of Kaltag alone or in any combination,2816,1614,247,Alaska Native,,
Village of Kotlik alone or in any combination,2817,1615,476,Alaska Native,,
Village of Lower Kalskag alone or in any combination,2818,1616,155,Alaska Native,,
Village of Ohogamiut alone or in any combination,2819,1617,99,Alaska Native,,
Village of Red Devil alone or in any combination,2820,1618,14,Alaska Native,,
Village of Sleetmute alone or in any combination,2821,1619,34,Alaska Native,,
Village of Solomon alone or in any combination,2822,1620,89,Alaska Native,,
Village of Stony River alone or in any combination,2823,1621,48,Alaska Native,,
Village of Venetie alone or in any combination,2824,1622,337,Alaska Native,,
Village of Wainwright alone or in any combination,2825,1623,667,Alaska Native,,
Wiseman alone or in any combination,2826,1624,2,Alaska Native,,
Wrangell Cooperative Association alone or in any combination,2827,1625,106,Alaska Native,,
Yakutat Tlingit Tribe alone or in any combination,2828,1626,294,Alaska Native,,
Yupiit of Andreafski alone or in any combination,2829,1627,406,Alaska Native,,
Yup'ik (Yup'ik Eskimo) alone or in any combination,2830,1628,"13,706",Alaska Native,,
"Alaska Native alone or in any combination, not specified ",2831,1629,"69,964",Alaska Native,,
American Indian alone or in any combination,2833,1631,"6,363,796",American Indian,,
Abenaki Nation of Missisquoi alone or in any combination,2834,1632,"10,707",American Indian,,
Absentee Shawnee Tribe of Indians of Oklahoma alone or in any combination,2835,1633,"3,265",American Indian,,
Agua Caliente alone or in any combination,2836,1634,393,American Indian,,
Agua Caliente Band of Cahuilla Indians alone or in any combination,2837,1635,296,American Indian,,
Ak-Chin Indian Community alone or in any combination,2838,1636,938,American Indian,,
Alabama Creek alone or in any combination,2839,1637,162,American Indian,,
Alabama Quassarte Tribal Town alone or in any combination,2840,1638,179,American Indian,,
Alabama-Coushatta Tribe of Texas alone or in any combination,2841,1639,"1,773",American Indian,,
Algonquian alone or in any combination,2842,1640,"8,881",American Indian,,
Allegheny Lenape alone or in any combination,2843,1641,199,American Indian,,
Alpine alone or in any combination,2844,1642,61,American Indian,,
Alsea alone or in any combination,2845,1643,13,American Indian,,
Alturas Indian Rancheria alone or in any combination,2846,1644,8,American Indian,,
Ani-stohini/Unami alone or in any combination,2847,1645,1,American Indian,,
Apache alone or in any combination,2848,1646,"129,589",American Indian,,
Apache Tribe of Oklahoma alone or in any combination,2849,1647,"2,127",American Indian,,
Arapaho alone or in any combination,2850,1648,"3,344",American Indian,,
"Arapaho Tribe of the Wind River Reservation, Wyoming alone or in any combination",2851,1649,696,American Indian,,
Aroostook Band of Micmacs alone or in any combination,2852,1650,285,American Indian,,
Assiniboine alone or in any combination,2853,1651,"5,640",American Indian,,
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana alone or in any combination",2854,1652,"7,520",American Indian,,
Assonet Band of the Wampanoag Nation alone or in any combination,2855,1653,4,American Indian,,
Atakapa alone or in any combination,2856,1654,942,American Indian,,
Atsina alone or in any combination,2857,1655,2,American Indian,,
"Augustine Band of Cahuilla Indians, California alone or in any combination",2858,1656,13,American Indian,,
Bad River Band of the Lake Superior Tribe alone or in any combination,2859,1657,"4,621",American Indian,,
Bannock alone or in any combination,2860,1658,334,American Indian,,
Barona Group of Capitan Grande Band alone or in any combination,2861,1659,620,American Indian,,
Bay Mills Indian Community alone or in any combination,2862,1660,"1,464",American Indian,,
Bear River Band of Rohnerville Rancheria alone or in any combination,2863,1661,539,American Indian,,
Beaver Creek Indians alone or in any combination,2864,1662,638,American Indian,,
Berry Creek Rancheria of Maidu Indians alone or in any combination,2865,1663,477,American Indian,,
Big Lagoon Rancheria alone or in any combination,2866,1664,52,American Indian,,
Big Pine Paiute Tribe of the Owens Valley alone or in any combination,2867,1665,412,American Indian,,
Big Sandy Rancheria of Western Mono Indians of California alone or in any combination,2868,1666,261,American Indian,,
Big Valley Band of Pomo Indians of the Big Valley Rancheria alone or in any combination,2869,1667,528,American Indian,,
Biloxi alone or in any combination,2870,1668,165,American Indian,,
Biloxi-Chitimacha Confederation alone or in any combination,2871,1669,896,American Indian,,
Bishop Paiute Tribe alone or in any combination,2872,1670,"1,173",American Indian,,
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone or in any combination,2873,1671,"297,899",American Indian,,
Blue Lake Rancheria alone or in any combination,2874,1672,39,American Indian,,
Bois Forte Band (Nett Lake) alone or in any combination,2875,1673,"1,786",American Indian,,
Bridgeport Paiute Indian Colony alone or in any combination,2876,1674,53,American Indian,,
Brotherton alone or in any combination,2877,1675,"2,544",American Indian,,
Brule Sioux alone or in any combination,2878,1676,106,American Indian,,
Buena Vista Rancheria of Me-Wuk Indians of California alone or in any combination,2879,1677,4,American Indian,,
Burns Paiute Tribe alone or in any combination,2880,1678,257,American Indian,,
Burt Lake Band of Ottawa and Chippewa Indians alone or in any combination,2881,1679,99,American Indian,,
Cabazon Band of Mission Indians alone or in any combination,2882,1680,89,American Indian,,
Cachil Dehe Band of Wintun Indians of the Colusa Rancheria alone or in any combination,2883,1681,211,American Indian,,
Caddo Adais Indians alone or in any combination,2884,1682,661,American Indian,,
Caddo alone or in any combination,2885,1683,"5,372",American Indian,,
Caddo Nation of Oklahoma alone or in any combination,2886,1684,"1,514",American Indian,,
Cahto Indian Tribe of the Laytonville Rancheria alone or in any combination,2887,1685,313,American Indian,,
Cahuilla alone or in any combination,2888,1686,"1,984",American Indian,,
Cahuilla Band of Indians alone or in any combination,2889,1687,406,American Indian,,
California Valley Miwok Tribe alone or in any combination,2890,1688,199,American Indian,,
Campo Band of Diegueno Mission Indians alone or in any combination,2891,1689,269,American Indian,,
Capitan Grande Band of Diegueno Mission Indians alone or in any combination,2892,1690,19,American Indian,,
Catawba Indian Nation alone or in any combination,2893,1691,"6,095",American Indian,,
Cayuga Nation alone or in any combination,2894,1692,"1,891",American Indian,,
Cayuse alone or in any combination,2895,1693,357,American Indian,,
Cedarville Rancheria alone or in any combination,2896,1694,4,American Indian,,
Celilo alone or in any combination,2897,1695,19,American Indian,,
Central Pomo alone or in any combination,2898,1696,52,American Indian,,
Chaloklowa Chickasaw alone or in any combination,2899,1697,71,American Indian,,
Chappaquiddick Tribe of the Wampanoag Indian Nation alone or in any combination,2900,1698,171,American Indian,,
Chaubunagungamaug Nipmuck alone or in any combination,2901,1699,15,American Indian,,
Chemakuan alone or in any combination,2902,1700,21,American Indian,,
Chemehuevi Indian Tribe alone or in any combination,2903,1701,"1,596",American Indian,,
Cher-Ae Heights Indian Community of the Trinidad Rancheria alone or in any combination,2904,1702,295,American Indian,,
Cher-O-Creek Intratribal Indians alone or in any combination,2905,1703,"1,204",American Indian,,
Cheroenhaka (Nottoway) alone or in any combination,2906,1704,987,American Indian,,
Cherokee Alabama alone or in any combination,2907,1705,"1,871",American Indian,,
Cherokee alone or in any combination,2908,1706,"1,513,326",American Indian,,
Cherokee Nation alone or in any combination,2909,1707,"77,232",American Indian,,
Cherokee Bear Clan of South Carolina alone or in any combination,2910,1708,"1,273",American Indian,,
Cherokee of Georgia alone or in any combination,2911,1709,"1,154",American Indian,,
Cherokee Tribe of Northeast Alabama alone or in any combination,2912,1710,890,American Indian,,
Cheyenne alone or in any combination,2913,1711,"15,820",American Indian,,
"Cheyenne and Arapaho Tribes, Oklahoma alone or in any combination",2914,1712,"7,662",American Indian,,
"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota alone or in any combination",2915,1713,"15,175",American Indian,,
Chickahominy Indian Tribe alone or in any combination,2916,1714,"2,213",American Indian,,
Chickahominy Indian Tribe - Eastern Division alone or in any combination,2917,1715,194,American Indian,,
The Chickasaw Nation alone or in any combination,2918,1716,"85,511",American Indian,,
Chicken Ranch Rancheria of Me-Wuk Indians alone or in any combination,2919,1717,14,American Indian,,
Chimariko alone or in any combination,2920,1718,94,American Indian,,
Chinook alone or in any combination,2921,1719,"3,520",American Indian,,
Chippewa alone or in any combination,2922,1720,"130,048",American Indian,,
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana alone or in any combination",2923,1721,"9,198",American Indian,,
Chitimacha Tribe of Louisiana alone or in any combination,2924,1722,"2,735",American Indian,,
Choctaw alone or in any combination,2925,1723,"255,557",American Indian,,
Choctaw-Apache Community of Ebarb alone or in any combination,2926,1724,"4,588",American Indian,,
The Choctaw Nation of Oklahoma alone or in any combination,2927,1725,"47,955",American Indian,,
Chumash alone or in any combination,2928,1726,"11,313",American Indian,,
"Citizen Potawatomi Nation, Oklahoma alone or in any combination",2929,1727,"8,037",American Indian,,
Clatsop alone or in any combination,2930,1728,235,American Indian,,
Clear Lake alone or in any combination,2931,1729,2,American Indian,,
Clifton Choctaw Tribe of Louisiana alone or in any combination,2932,1730,147,American Indian,,
Cloverdale Rancheria of Pomo Indians of California alone or in any combination,2933,1731,229,American Indian,,
Cocopah Tribe of Arizona alone or in any combination,2934,1732,"1,190",American Indian,,
Coeur D'Alene alone or in any combination,2935,1733,"2,353",American Indian,,
Coharie Indian Tribe alone or in any combination,2936,1734,"2,848",American Indian,,
Cold Springs Rancheria of Mono Indians alone or in any combination,2937,1735,113,American Indian,,
Colorado River Indian Tribe alone or in any combination,2938,1736,"3,146",American Indian,,
Columbia alone or in any combination,2939,1737,81,American Indian,,
Columbia River Chinook alone or in any combination,2940,1738,966,American Indian,,
"Comanche Nation, Oklahoma alone or in any combination",2941,1739,"39,808",American Indian,,
Confederated Salish and Kootenai Tribes of the Flathead Nation alone or in any combination,2942,1740,"9,487",American Indian,,
Confederated Tribes and Bands of the Yakama Nation alone or in any combination,2943,1741,"13,117",American Indian,,
Confederated Tribes of Siletz Indians of Oregon alone or in any combination,2944,1742,"5,074",American Indian,,
Confederated Tribes of the Chehalis Reservation alone or in any combination,2945,1743,"1,131",American Indian,,
Confederated Tribes of the Colville Reservation alone or in any combination,2946,1744,"11,651",American Indian,,
"Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw Indians alone or in any combination",2947,1745,810,American Indian,,
Confederated Tribes of the Goshute Reservation alone or in any combination,2948,1746,556,American Indian,,
Confederated Tribes of the Grand Ronde Community of Oregon alone or in any combination,2949,1747,"4,595",American Indian,,
Confederated Tribes of the Umatilla Indian Reservation alone or in any combination,2950,1748,"3,604",American Indian,,
Confederated Tribes of Warm Springs alone or in any combination,2951,1749,"4,622",American Indian,,
Coos alone or in any combination,2952,1750,352,American Indian,,
Coquille Indian Tribe alone or in any combination,2953,1751,989,American Indian,,
Costanoan alone or in any combination,2954,1752,"5,210",American Indian,,
Coushatta alone or in any combination,2955,1753,"1,122",American Indian,,
Coushatta Tribe of Louisiana alone or in any combination,2956,1754,576,American Indian,,
Cow Creek Band of Umpqua Tribe of Indians alone or in any combination,2957,1755,"1,312",American Indian,,
Cowlitz Indian Tribe alone or in any combination,2958,1756,"4,394",American Indian,,
Coyote Valley Band of Pomo Indians of California alone or in any combination,2959,1757,228,American Indian,,
Cree alone or in any combination,2960,1758,"16,749",American Indian,,
Croatan alone or in any combination,2961,1759,"2,946",American Indian,,
"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota alone or in any combination",2962,1760,"3,558",American Indian,,
Crow Tribe of Montana alone or in any combination,2963,1761,"22,151",American Indian,,
Cumberland County Association for Indian People alone or in any combination,2964,1762,9,American Indian,,
Cupeno alone or in any combination,2965,1763,219,American Indian,,
Delaware (Lenni-Lenape) alone or in any combination,2966,1764,"22,946",American Indian,,
Delaware Nation alone or in any combination,2967,1765,"1,349",American Indian,,
"Delaware Tribe of Indians, Oklahoma alone or in any combination",2968,1766,"1,752",American Indian,,
"Dry Creek Rancheria Band of Pomo Indians, California alone or in any combination",2969,1767,466,American Indian,,
Duckwater Shoshone Tribe alone or in any combination,2970,1768,134,American Indian,,
Duwamish alone or in any combination,2971,1769,517,American Indian,,
East of the River Shawnee alone or in any combination,2972,1770,16,American Indian,,
Eastern Band of Cherokee Indians alone or in any combination,2973,1771,"14,090",American Indian,,
Eastern Creek alone or in any combination,2974,1772,499,American Indian,,
Eastern Muscogee alone or in any combination,2975,1773,7,American Indian,,
Eastern Pequot alone or in any combination,2976,1774,690,American Indian,,
Eastern Pomo alone or in any combination,2977,1775,0,American Indian,,
Eastern Shawnee Tribe of Oklahoma alone or in any combination,2978,1776,"2,488",American Indian,,
"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming alone or in any combination",2979,1777,"3,029",American Indian,,
Echota Cherokee Tribe of Alabama alone or in any combination,2980,1778,"6,155",American Indian,,
Edisto Natchez-Kusso Tribe of South Carolina (Natchez Indian Tribe) alone or in any combination,2981,1779,"1,803",American Indian,,
Elem Indian Colony of the Sulphur Bank Rancheria alone or in any combination,2982,1780,124,American Indian,,
Elk Valley Rancheria alone or in any combination,2983,1781,49,American Indian,,
Elnu Abenaki Tribe alone or in any combination,2984,1782,27,American Indian,,
Ely Shoshone Tribe alone or in any combination,2985,1783,187,American Indian,,
Enterprise Rancheria of Maidu Indians alone or in any combination,2986,1784,342,American Indian,,
Esselen alone or in any combination,2987,1785,477,American Indian,,
Ewiiaapaayp Band of Kumeyaay Indians alone or in any combination,2988,1786,6,American Indian,,
Federated Indians of Graton Rancheria alone or in any combination,2989,1787,966,American Indian,,
Fernandeno Tataviam Band of Mission Indians alone or in any combination,2990,1788,756,American Indian,,
Flandreau Santee Sioux Tribe of South Dakota alone or in any combination,2991,1789,602,American Indian,,
Fond du Lac Band alone or in any combination,2992,1790,"3,196",American Indian,,
"Forest County Potawatomi Community, Wisconsin alone or in any combination",2993,1791,568,American Indian,,
Fort Belknap Indian Community of the Fort Belknap Reservation alone or in any combination,2994,1792,"1,526",American Indian,,
Fort Bidwell Indian Community alone or in any combination,2995,1793,103,American Indian,,
Fort Independence Indian Community alone or in any combination,2996,1794,50,American Indian,,
Fort McDermitt Paiute and Shoshone Tribes of Nevada and Oregon alone or in any combination,2997,1795,235,American Indian,,
Fort McDowell Yavapai Nation alone or in any combination,2998,1796,761,American Indian,,
"Fort Mojave Indian Tribe of Arizona, California, and Nevada alone or in any combination",2999,1797,"2,350",American Indian,,
Fort Sill Apache Tribe of Oklahoma alone or in any combination,3000,1798,"4,760",American Indian,,
Four Winds Cherokee alone or in any combination,3001,1799,847,American Indian,,
Gabrieleno alone or in any combination,3002,1800,"4,277",American Indian,,
Georgetown alone or in any combination,3003,1801,62,American Indian,,
Georgia Eastern Cherokee alone or in any combination,3004,1802,316,American Indian,,
Gila River Indian Community of the Gila River Indian Reservation alone or in any combination,3005,1803,"15,301",American Indian,,
Golden Hill Paugussett alone or in any combination,3006,1804,184,American Indian,,
Grand Portage Band alone or in any combination,3007,1805,586,American Indian,,
Grand River Band of Ottawa Indians alone or in any combination,3008,1806,190,American Indian,,
Grand Traverse Band of Ottawa and Chippewa Indians alone or in any combination,3009,1807,"2,601",American Indian,,
Greenville Rancheria alone or in any combination,3010,1808,99,American Indian,,
Grindstone Indian Rancheria of Wintun-Wailaki Indians alone or in any combination,3011,1809,144,American Indian,,
Gros Ventres alone or in any combination,3012,1810,"4,098",American Indian,,
Guidiville Rancheria of California alone or in any combination,3013,1811,71,American Indian,,
Guilford Native American Association alone or in any combination,3014,1812,6,American Indian,,
Habematolel Pomo of Upper Lake alone or in any combination,3015,1813,131,American Indian,,
Haliwa-Saponi Indian Tribe alone or in any combination,3016,1814,"5,707",American Indian,,
"Hannahville Potawatomi Indian Tribe, Michigan alone or in any combination",3017,1815,417,American Indian,,
Hassanamisco Band of the Nipmuc Nation alone or in any combination,3018,1816,19,American Indian,,
Havasupai Tribe of the Havasupai Reservation alone or in any combination,3019,1817,675,American Indian,,
Herring Pond Wampanoag Tribe alone or in any combination,3020,1818,80,American Indian,,
Ho-Chunk Nation alone or in any combination,3021,1819,"8,749",American Indian,,
Hoh Indian Tribe alone or in any combination,3022,1820,258,American Indian,,
Hoopa Extension alone or in any combination,3023,1821,18,American Indian,,
Hoopa Valley Tribe alone or in any combination,3024,1822,"4,622",American Indian,,
Hopi Tribe of Arizona alone or in any combination,3025,1823,"22,921",American Indian,,
Hopland Band of Pomo Indians alone or in any combination,3026,1824,501,American Indian,,
Houlton Band of Maliseet Indians alone or in any combination,3027,1825,287,American Indian,,
Hualapai Indian Tribe of the Hualapai Indian Reservation alone or in any combination,3028,1826,"2,258",American Indian,,
Iipay Nation of Santa Ysabel alone or in any combination,3029,1827,737,American Indian,,
Illinois Miami alone or in any combination,3030,1828,622,American Indian,,
Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation alone or in any combination,3031,1829,19,American Indian,,
Indian Township alone or in any combination,3032,1830,488,American Indian,,
Indiana Miami alone or in any combination,3033,1831,"1,405",American Indian,,
Ione Band of Miwok Indians alone or in any combination,3034,1832,300,American Indian,,
Iowa (Tribe) alone or in any combination,3035,1833,"2,360",American Indian,,
Iowa Tribe of Kansas and Nebraska alone or in any combination,3036,1834,"1,095",American Indian,,
Iowa Tribe of Oklahoma alone or in any combination,3037,1835,400,American Indian,,
Iroquois alone or in any combination,3038,1836,"24,918",American Indian,,
Jackson Band of Miwuk Indians alone or in any combination,3039,1837,6,American Indian,,
Jamestown S'Klallam Tribe alone or in any combination,3040,1838,902,American Indian,,
Jamul Indian Village alone or in any combination,3041,1839,200,American Indian,,
Jena Band of Choctaw Indians alone or in any combination,3042,1840,219,American Indian,,
Jicarilla Apache Nation alone or in any combination,3043,1841,"5,248",American Indian,,
Juaneno (Acjachemem) alone or in any combination,3044,1842,"4,485",American Indian,,
Kaibab Band of Paiute Indians of the Kaibab Indian Reservation alone or in any combination,3045,1843,224,American Indian,,
Kalapuya alone or in any combination,3046,1844,153,American Indian,,
Kalispel Indian Community alone or in any combination,3047,1845,507,American Indian,,
Karuk Tribe alone or in any combination,3048,1846,"8,038",American Indian,,
Kashia Band of Pomo Indians of the Stewarts Point Rancheria alone or in any combination,3049,1847,626,American Indian,,
Kathlamet alone or in any combination,3050,1848,2,American Indian,,
Kaw Nation alone or in any combination,3051,1849,"3,862",American Indian,,
Kern Valley Indian Community alone or in any combination,3052,1850,487,American Indian,,
"Kewa Pueblo, New Mexico alone or in any combination",3053,1851,"4,306",American Indian,,
Keweenaw Bay Indian Community alone or in any combination,3054,1852,"1,978",American Indian,,
Kialegee Tribal Town alone or in any combination,3055,1853,53,American Indian,,
Kickapoo alone or in any combination,3056,1854,"7,747",American Indian,,
Kickapoo Traditional Tribe of Texas alone or in any combination,3057,1855,508,American Indian,,
Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas alone or in any combination,3058,1856,856,American Indian,,
Kickapoo Tribe of Oklahoma alone or in any combination,3059,1857,898,American Indian,,
Kikiallus alone or in any combination,3060,1858,66,American Indian,,
Kiowa alone or in any combination,3061,1859,"10,347",American Indian,,
Kiowa Indian Tribe of Oklahoma alone or in any combination,3062,1860,"3,831",American Indian,,
Klallam alone or in any combination,3063,1861,764,American Indian,,
Klamath Tribes alone or in any combination,3064,1862,"5,695",American Indian,,
Kletsel Dehe Band of Wintun Indians alone or in any combination,3065,1863,114,American Indian,,
Koasek (Cowasuck) Traditional Band of the Sovereign Abenaki Nation alone or in any combination,3066,1864,102,American Indian,,
Koi Nation of Northern California alone or in any combination,3067,1865,167,American Indian,,
Konkow alone or in any combination,3068,1866,915,American Indian,,
Kootenai Tribe of Idaho alone or in any combination,3069,1867,"2,088",American Indian,,
Kumeyaay (Diegueno) alone or in any combination,3070,1868,"2,222",American Indian,,
"La Jolla Band of Luiseno Indians, California alone or in any combination",3071,1869,447,American Indian,,
La Posta Band of Diegueno Mission Indians alone or in any combination,3072,1870,45,American Indian,,
Lac Courte Oreilles Band of Lake Superior Chippewa alone or in any combination,3073,1871,"4,758",American Indian,,
Lac du Flambeau Band of Lake Superior Chippewa Indians alone or in any combination,3074,1872,"2,088",American Indian,,
Lac Vieux Desert Band of Lake Superior Chippewa Indians alone or in any combination,3075,1873,467,American Indian,,
Lake Superior Chippewa alone or in any combination,3076,1874,729,American Indian,,
Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony alone or in any combination,3077,1875,68,American Indian,,
Lassik alone or in any combination,3078,1876,X,American Indian,,
Leech Lake Band alone or in any combination,3079,1877,"5,998",American Indian,,
Lemhi-Shoshone alone or in any combination,3080,1878,142,American Indian,,
Lipan Apache alone or in any combination,3081,1879,"4,167",American Indian,,
Little River Band of Ottawa Indians of Michigan alone or in any combination,3082,1880,"2,966",American Indian,,
Little Shell Tribe of Chippewa Indians of Montana alone or in any combination,3083,1881,"3,576",American Indian,,
Little Traverse Bay Bands of Odawa Indians alone or in any combination,3084,1882,"2,740",American Indian,,
Lone Pine Paiute-Shoshone Tribe alone or in any combination,3085,1883,116,American Indian,,
Los Coyotes Band of Cahuilla and Cupeno Indians alone or in any combination,3086,1884,183,American Indian,,
Louisiana Choctaw Tribe alone or in any combination,3087,1885,155,American Indian,,
"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada alone or in any combination",3088,1886,105,American Indian,,
"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota alone or in any combination",3089,1887,"2,709",American Indian,,
Lower Elwha Tribal Community alone or in any combination,3090,1888,953,American Indian,,
Lower Muscogee Creek Tribe alone or in any combination,3091,1889,989,American Indian,,
Lower Sioux Indian Community in the State of Minnesota alone or in any combination,3092,1890,942,American Indian,,
Lower Skagit alone or in any combination,3093,1891,2,American Indian,,
Luiseno alone or in any combination,3094,1892,"2,637",American Indian,,
Lumbee Tribe of North Carolina alone or in any combination,3095,1893,"79,424",American Indian,,
Lummi Tribe alone or in any combination,3096,1894,"5,484",American Indian,,
Lytton Rancheria of California alone or in any combination,3097,1895,145,American Indian,,
Ma-Chis Lower Creek Indian Tribe of Alabama alone or in any combination,3098,1896,684,American Indian,,
Maidu alone or in any combination,3099,1897,"4,219",American Indian,,
Makah Indian Tribe alone or in any combination,3100,1898,"3,518",American Indian,,
Malheur Paiute alone or in any combination,3101,1899,X,American Indian,,
Maliseet alone or in any combination,3102,1900,"2,694",American Indian,,
"Manchester Band of Pomo Indians of the Manchester Rancheria, California alone or in any combination",3103,1901,357,American Indian,,
Manzanita Band of Diegueno Mission Indians alone or in any combination,3104,1902,131,American Indian,,
Maricopa alone or in any combination,3105,1903,"1,099",American Indian,,
Marietta Band of Nooksack alone or in any combination,3106,1904,4,American Indian,,
Mashantucket Pequot Indian Tribe alone or in any combination,3107,1905,"1,090",American Indian,,
Mashpee Wampanoag Tribe alone or in any combination,3108,1906,"1,273",American Indian,,
Match-e-be-nash-she-wish Band of Pottawatomi Indians alone or in any combination,3109,1907,368,American Indian,,
Matinecock alone or in any combination,3110,1908,88,American Indian,,
Mattaponi Indian Tribe alone or in any combination,3111,1909,"1,261",American Indian,,
Mdewakanton Sioux alone or in any combination,3112,1910,896,American Indian,,
Mechoopda Indian Tribe of Chico Rancheria alone or in any combination,3113,1911,406,American Indian,,
Meherrin Indian Tribe alone or in any combination,3114,1912,"1,846",American Indian,,
Menominee Indian Tribe alone or in any combination,3115,1913,"14,682",American Indian,,
Mesa Grande Band of Diegueno Mission Indians alone or in any combination,3116,1914,565,American Indian,,
"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico alone or in any combination",3117,1915,"11,161",American Indian,,
Metrolina Native American Association alone or in any combination,3118,1916,5,American Indian,,
Miami (Tribe) alone or in any combination,3119,1917,"8,235",American Indian,,
Miami Tribe of Oklahoma alone or in any combination,3120,1918,"1,838",American Indian,,
Miccosukee Tribe of Indians of Florida alone or in any combination,3121,1919,448,American Indian,,
Micmac alone or in any combination,3122,1920,"15,253",American Indian,,
Middletown Rancheria of Pomo Indians alone or in any combination,3123,1921,85,American Indian,,
Mille Lacs Band alone or in any combination,3124,1922,"3,005",American Indian,,
Minnesota Chippewa alone or in any combination,3125,1923,"3,077",American Indian,,
Mission Indians alone or in any combination,3126,1924,"1,972",American Indian,,
Mississippi Band of Choctaw Indians alone or in any combination,3127,1925,"10,216",American Indian,,
Miwok/Me-Wuk alone or in any combination,3128,1926,"7,088",American Indian,,
"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada alone or in any combination",3129,1927,248,American Indian,,
Modoc alone or in any combination,3130,1928,"1,965",American Indian,,
The Modoc Tribe of Oklahoma alone or in any combination,3131,1929,154,American Indian,,
Mohawk alone or in any combination,3132,1930,"36,144",American Indian,,
Mohegan Tribe of Indians of Connecticut alone or in any combination,3133,1931,"3,801",American Indian,,
Molalla alone or in any combination,3134,1932,57,American Indian,,
Monacan Indian Nation alone or in any combination,3135,1933,"2,034",American Indian,,
Mono alone or in any combination,3136,1934,"2,638",American Indian,,
Montauk alone or in any combination,3137,1935,"1,140",American Indian,,
Moor Indian alone or in any combination,3138,1936,67,American Indian,,
Mooretown Rancheria of Maidu Indians alone or in any combination,3139,1937,308,American Indian,,
"Morongo Band of Mission Indians, California alone or in any combination",3140,1938,"1,686",American Indian,,
Mountain Maidu alone or in any combination,3141,1939,127,American Indian,,
MOWA Band of Choctaw Indians alone or in any combination,3142,1940,"3,246",American Indian,,
Muckleshoot Indian Tribe alone or in any combination,3143,1941,"2,835",American Indian,,
Munsee alone or in any combination,3144,1942,594,American Indian,,
The Muscogee (Creek) Nation alone or in any combination,3145,1943,"121,581",American Indian,,
Nansemond Indian Nation alone or in any combination,3146,1944,848,American Indian,,
Nanticoke alone or in any combination,3147,1945,"2,798",American Indian,,
Nanticoke Lenni-Lenape alone or in any combination,3148,1946,"1,369",American Indian,,
Narragansett Indian Tribe alone or in any combination,3149,1947,"6,610",American Indian,,
Natchitoches Tribe of Louisiana alone or in any combination,3150,1948,637,American Indian,,
Nausu Waiwash alone or in any combination,3151,1949,84,American Indian,,
Navajo Nation alone or in any combination,3152,1950,"423,412",American Indian,,
"New Jersey Sand Hill Band of Indians, Inc alone or in any combination",3153,1951,122,American Indian,,
Nez Perce Tribe alone or in any combination,3154,1952,"9,331",American Indian,,
Nipmuc alone or in any combination,3155,1953,"2,233",American Indian,,
Nisenen (Nishinam) alone or in any combination,3156,1954,157,American Indian,,
Nisqually Indian Tribe alone or in any combination,3157,1955,"1,288",American Indian,,
Nomlaki alone or in any combination,3158,1956,549,American Indian,,
Nooksack Indian Tribe alone or in any combination,3159,1957,"1,752",American Indian,,
North Fork Rancheria of Mono Indians alone or in any combination,3160,1958,855,American Indian,,
Northern Arapaho Tribe alone or in any combination,3161,1959,"6,048",American Indian,,
Northern Cherokee Nation of Missouri and Arkansas alone or in any combination,3162,1960,"2,355",American Indian,,
"Northern Cheyenne Tribe of the Northern Cheyenne Reservation, Montana alone or in any combination",3163,1961,"8,719",American Indian,,
